distinct,length
A_Average-Regular_Approach1,9
ACI_Average-Regular_Approach1,13
AEJ_Average-Regular_Approach1,13
AEY_Average-Regular_Approach1,16
AJD_Average-Regular_Approach1,17
AKV_Average-Regular_Approach1,18
ANC_Average-Regular_Approach1,20
ARV_Average-Regular_Approach1,21
AW_Average-Regular_Approach1,19
AX_Average-Regular_Approach1,13
AXF_Average-Regular_Approach1,16
AZ_Average-Regular_Approach1,12
AZH_Average-Regular_Approach1,15
AT_Average-Regular_Approach1,14
B_Average-Regular_Approach1,9
BEV_Average-Regular_Approach1,18
BKQ_Average-Regular_Approach1,21
BLC_Average-Regular_Approach1,20
BO_Average-Regular_Approach1,13
BTM_Average-Regular_Approach1,19
BVD_Average-Regular_Approach1,22
BOC_Average-Regular_Approach1,20
CBS_Average-Regular_Approach1,16
CGY_Average-Regular_Approach1,15
CIO_Average-Regular_Approach1,13
COP_Average-Regular_Approach1,13
CRK_Average-Regular_Approach1,16
CU_Average-Regular_Approach1,13
CUH_Average-Regular_Approach1,20
CV_Average-Regular_Approach1,13
CWC_Average-Regular_Approach1,21
CXS_Average-Regular_Approach1,13
CVG_Average-Regular_Approach1,25
DAQ_Average-Regular_Approach1,23
DCJ_Average-Regular_Approach1,17
DGC_Average-Regular_Approach1,18
DGH_Average-Regular_Approach1,17
DI_Average-Regular_Approach1,13
DIH_Average-Regular_Approach1,14
DJI_Average-Regular_Approach1,13
DMF_Average-Regular_Approach1,28
DMP_Average-Regular_Approach1,28
DP_Average-Regular_Approach1,13
DU_Average-Regular_Approach1,15
DV_Average-Regular_Approach1,12
EDH_Average-Regular_Approach1,18
EHX_Average-Regular_Approach1,18
EL_Average-Regular_Approach1,11
EOB_Average-Regular_Approach1,13
EP_Average-Regular_Approach1,12
ER_Average-Regular_Approach1,14
ETC_Average-Regular_Approach1,19
EU_Average-Regular_Approach1,15
EVG_Average-Regular_Approach1,23
FHP_Average-Regular_Approach1,14
FL_Average-Regular_Approach1,13
FPJ_Average-Regular_Approach1,12
FSB_Average-Regular_Approach1,16
FUX_Average-Regular_Approach1,17
G_Average-Regular_Approach1,12
GC_Average-Regular_Approach1,15
GD_Average-Regular_Approach1,14
GEZ_Average-Regular_Approach1,12
GHJ_Average-Regular_Approach1,15
GM_Average-Regular_Approach1,12
GMU_Average-Regular_Approach1,20
GPS_Average-Regular_Approach1,16
GTB_Average-Regular_Approach1,20
GWG_Average-Regular_Approach1,23
HI_Average-Regular_Approach1,10
HKD_Average-Regular_Approach1,19
HO_Average-Regular_Approach1,14
HBV_Average-Regular_Approach1,16
IA_Average-Regular_Approach1,11
IB_Average-Regular_Approach1,10
IBY_Average-Regular_Approach1,12
IC_Average-Regular_Approach1,17
IH_Average-Regular_Approach1,10
IN_Average-Regular_Approach1,11
IP_Average-Regular_Approach1,10
IZ_Average-Regular_Approach1,10
JA_Average-Regular_Approach1,11
JB_Average-Regular_Approach1,10
JBR_Average-Regular_Approach1,14
JC_Average-Regular_Approach1,11
JCD_Average-Regular_Approach1,15
JD_Average-Regular_Approach1,13
JHR_Average-Regular_Approach1,13
JJ_Average-Regular_Approach1,10
JNY_Average-Regular_Approach1,13
JO_Average-Regular_Approach1,11
JRA_Average-Regular_Approach1,15
JXD_Average-Regular_Approach1,18
KGO_Average-Regular_Approach1,20
KIW_Average-Regular_Approach1,19
KJ_Average-Regular_Approach1,12
KJP_Average-Regular_Approach1,15
LAC_Average-Regular_Approach1,17
LBP_Average-Regular_Approach1,15
